Stage,Topic,Channel / Course,Specific Video / Playlist,Direct Link (Searchable),Goal,Outcome
Stage 1 - Math Foundations,Vectors & Geometry,3Blue1Brown / MIT OCW / StatQuest,Search: Vectors & Geometry,https://www.youtube.com/results?search_query=Vectors+&+Geometry,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Matrix Multiplication Intuition,3Blue1Brown / MIT OCW / StatQuest,Search: Matrix Multiplication Intuition,https://www.youtube.com/results?search_query=Matrix+Multiplication+Intuition,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Eigenvalues & Eigenvectors,3Blue1Brown / MIT OCW / StatQuest,Search: Eigenvalues & Eigenvectors,https://www.youtube.com/results?search_query=Eigenvalues+&+Eigenvectors,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Matrix Inverses,3Blue1Brown / MIT OCW / StatQuest,Search: Matrix Inverses,https://www.youtube.com/results?search_query=Matrix+Inverses,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Determinants,3Blue1Brown / MIT OCW / StatQuest,Search: Determinants,https://www.youtube.com/results?search_query=Determinants,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Change of Basis,3Blue1Brown / MIT OCW / StatQuest,Search: Change of Basis,https://www.youtube.com/results?search_query=Change+of+Basis,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,SVD Decomposition,3Blue1Brown / MIT OCW / StatQuest,Search: SVD Decomposition,https://www.youtube.com/results?search_query=SVD+Decomposition,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Positive Definite Matrices,3Blue1Brown / MIT OCW / StatQuest,Search: Positive Definite Matrices,https://www.youtube.com/results?search_query=Positive+Definite+Matrices,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Gradients & Partial Derivatives,3Blue1Brown / MIT OCW / StatQuest,Search: Gradients & Partial Derivatives,https://www.youtube.com/results?search_query=Gradients+&+Partial+Derivatives,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Chain Rule (Multivariable),3Blue1Brown / MIT OCW / StatQuest,Search: Chain Rule (Multivariable),https://www.youtube.com/results?search_query=Chain+Rule+(Multivariable),Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Jacobian Matrix,3Blue1Brown / MIT OCW / StatQuest,Search: Jacobian Matrix,https://www.youtube.com/results?search_query=Jacobian+Matrix,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Hessian Matrix,3Blue1Brown / MIT OCW / StatQuest,Search: Hessian Matrix,https://www.youtube.com/results?search_query=Hessian+Matrix,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Probability Basics,3Blue1Brown / MIT OCW / StatQuest,Search: Probability Basics,https://www.youtube.com/results?search_query=Probability+Basics,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Cross Entropy & KL Divergence,3Blue1Brown / MIT OCW / StatQuest,Search: Cross Entropy & KL Divergence,https://www.youtube.com/results?search_query=Cross+Entropy+&+KL+Divergence,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 1 - Math Foundations,Maximum Likelihood Estimation,3Blue1Brown / MIT OCW / StatQuest,Search: Maximum Likelihood Estimation,https://www.youtube.com/results?search_query=Maximum+Likelihood+Estimation,Build mathematical intuition required for DL,Able to derive loss and gradient equations
Stage 2 - NN Foundations,Neural Network Forward Pass,Andrej Karpathy (Zero to Hero),Search: Neural Network Forward Pass Karpathy,https://www.youtube.com/results?search_query=Neural+Network+Forward+Pass+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Backpropagation Derivation,Andrej Karpathy (Zero to Hero),Search: Backpropagation Derivation Karpathy,https://www.youtube.com/results?search_query=Backpropagation+Derivation+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Computational Graphs,Andrej Karpathy (Zero to Hero),Search: Computational Graphs Karpathy,https://www.youtube.com/results?search_query=Computational+Graphs+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Autograd Engine,Andrej Karpathy (Zero to Hero),Search: Autograd Engine Karpathy,https://www.youtube.com/results?search_query=Autograd+Engine+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Gradient Descent,Andrej Karpathy (Zero to Hero),Search: Gradient Descent Karpathy,https://www.youtube.com/results?search_query=Gradient+Descent+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,SGD vs Adam,Andrej Karpathy (Zero to Hero),Search: SGD vs Adam Karpathy,https://www.youtube.com/results?search_query=SGD+vs+Adam+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Weight Initialization,Andrej Karpathy (Zero to Hero),Search: Weight Initialization Karpathy,https://www.youtube.com/results?search_query=Weight+Initialization+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Activation Functions,Andrej Karpathy (Zero to Hero),Search: Activation Functions Karpathy,https://www.youtube.com/results?search_query=Activation+Functions+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Vanishing/Exploding Gradients,Andrej Karpathy (Zero to Hero),Search: Vanishing/Exploding Gradients Karpathy,https://www.youtube.com/results?search_query=Vanishing/Exploding+Gradients+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Batch Normalization,Andrej Karpathy (Zero to Hero),Search: Batch Normalization Karpathy,https://www.youtube.com/results?search_query=Batch+Normalization+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Layer Normalization,Andrej Karpathy (Zero to Hero),Search: Layer Normalization Karpathy,https://www.youtube.com/results?search_query=Layer+Normalization+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Regularization Techniques,Andrej Karpathy (Zero to Hero),Search: Regularization Techniques Karpathy,https://www.youtube.com/results?search_query=Regularization+Techniques+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Dropout,Andrej Karpathy (Zero to Hero),Search: Dropout Karpathy,https://www.youtube.com/results?search_query=Dropout+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Loss Functions,Andrej Karpathy (Zero to Hero),Search: Loss Functions Karpathy,https://www.youtube.com/results?search_query=Loss+Functions+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 2 - NN Foundations,Optimization Landscapes,Andrej Karpathy (Zero to Hero),Search: Optimization Landscapes Karpathy,https://www.youtube.com/results?search_query=Optimization+Landscapes+Karpathy,Understand training deeply,Can build neural net from scratch
Stage 3 - Sequence Models,RNN Mathematics,Stanford CS224n,Search: RNN Mathematics CS224n,https://www.youtube.com/results?search_query=RNN+Mathematics+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,LSTM Gates Derivation,Stanford CS224n,Search: LSTM Gates Derivation CS224n,https://www.youtube.com/results?search_query=LSTM+Gates+Derivation+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,GRU Model,Stanford CS224n,Search: GRU Model CS224n,https://www.youtube.com/results?search_query=GRU+Model+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,BPTT,Stanford CS224n,Search: BPTT CS224n,https://www.youtube.com/results?search_query=BPTT+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,Sequence-to-Sequence,Stanford CS224n,Search: Sequence-to-Sequence CS224n,https://www.youtube.com/results?search_query=Sequence-to-Sequence+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,Attention Mechanism (Pre-Transformer),Stanford CS224n,Search: Attention Mechanism (Pre-Transformer) CS224n,https://www.youtube.com/results?search_query=Attention+Mechanism+(Pre-Transformer)+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,Encoder-Decoder Architecture,Stanford CS224n,Search: Encoder-Decoder Architecture CS224n,https://www.youtube.com/results?search_query=Encoder-Decoder+Architecture+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,Vanishing Gradient in RNNs,Stanford CS224n,Search: Vanishing Gradient in RNNs CS224n,https://www.youtube.com/results?search_query=Vanishing+Gradient+in+RNNs+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,Word Embeddings,Stanford CS224n,Search: Word Embeddings CS224n,https://www.youtube.com/results?search_query=Word+Embeddings+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 3 - Sequence Models,Positional Encoding Intuition,Stanford CS224n,Search: Positional Encoding Intuition CS224n,https://www.youtube.com/results?search_query=Positional+Encoding+Intuition+CS224n,Understand evolution to Transformers,Clear on why attention replaced RNNs
Stage 4 - Transformers & GPT,Self-Attention Derivation,CS224n / Yannic Kilcher / Karpathy,Search: Self-Attention Derivation transformer,https://www.youtube.com/results?search_query=Self-Attention+Derivation+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Scaled Dot-Product Attention,CS224n / Yannic Kilcher / Karpathy,Search: Scaled Dot-Product Attention transformer,https://www.youtube.com/results?search_query=Scaled+Dot-Product+Attention+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Multi-Head Attention,CS224n / Yannic Kilcher / Karpathy,Search: Multi-Head Attention transformer,https://www.youtube.com/results?search_query=Multi-Head+Attention+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Masking in Transformers,CS224n / Yannic Kilcher / Karpathy,Search: Masking in Transformers transformer,https://www.youtube.com/results?search_query=Masking+in+Transformers+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Transformer Encoder Block,CS224n / Yannic Kilcher / Karpathy,Search: Transformer Encoder Block transformer,https://www.youtube.com/results?search_query=Transformer+Encoder+Block+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Transformer Decoder Block,CS224n / Yannic Kilcher / Karpathy,Search: Transformer Decoder Block transformer,https://www.youtube.com/results?search_query=Transformer+Decoder+Block+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Feed Forward Networks,CS224n / Yannic Kilcher / Karpathy,Search: Feed Forward Networks transformer,https://www.youtube.com/results?search_query=Feed+Forward+Networks+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Residual Connections,CS224n / Yannic Kilcher / Karpathy,Search: Residual Connections transformer,https://www.youtube.com/results?search_query=Residual+Connections+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Layer Normalization in Transformers,CS224n / Yannic Kilcher / Karpathy,Search: Layer Normalization in Transformers transformer,https://www.youtube.com/results?search_query=Layer+Normalization+in+Transformers+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Positional Encoding Formula,CS224n / Yannic Kilcher / Karpathy,Search: Positional Encoding Formula transformer,https://www.youtube.com/results?search_query=Positional+Encoding+Formula+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Embedding Layer Mathematics,CS224n / Yannic Kilcher / Karpathy,Search: Embedding Layer Mathematics transformer,https://www.youtube.com/results?search_query=Embedding+Layer+Mathematics+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Softmax Temperature,CS224n / Yannic Kilcher / Karpathy,Search: Softmax Temperature transformer,https://www.youtube.com/results?search_query=Softmax+Temperature+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Autoregressive Modeling,CS224n / Yannic Kilcher / Karpathy,Search: Autoregressive Modeling transformer,https://www.youtube.com/results?search_query=Autoregressive+Modeling+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Causal Masking,CS224n / Yannic Kilcher / Karpathy,Search: Causal Masking transformer,https://www.youtube.com/results?search_query=Causal+Masking+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Cross Attention,CS224n / Yannic Kilcher / Karpathy,Search: Cross Attention transformer,https://www.youtube.com/results?search_query=Cross+Attention+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,GPT Architecture Overview,CS224n / Yannic Kilcher / Karpathy,Search: GPT Architecture Overview transformer,https://www.youtube.com/results?search_query=GPT+Architecture+Overview+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Pretraining Objective,CS224n / Yannic Kilcher / Karpathy,Search: Pretraining Objective transformer,https://www.youtube.com/results?search_query=Pretraining+Objective+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Tokenization (BPE),CS224n / Yannic Kilcher / Karpathy,Search: Tokenization (BPE) transformer,https://www.youtube.com/results?search_query=Tokenization+(BPE)+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,Scaling Laws,CS224n / Yannic Kilcher / Karpathy,Search: Scaling Laws transformer,https://www.youtube.com/results?search_query=Scaling+Laws+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 4 - Transformers & GPT,In-Context Learning,CS224n / Yannic Kilcher / Karpathy,Search: In-Context Learning transformer,https://www.youtube.com/results?search_query=In-Context+Learning+transformer,Master full transformer mathematics,Can implement GPT block independently
Stage 5 - Systems & Scaling,Distributed Training,DeepLearning.AI / Research Talks,Search: Distributed Training LLM,https://www.youtube.com/results?search_query=Distributed+Training+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,Data Parallelism,DeepLearning.AI / Research Talks,Search: Data Parallelism LLM,https://www.youtube.com/results?search_query=Data+Parallelism+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,Model Parallelism,DeepLearning.AI / Research Talks,Search: Model Parallelism LLM,https://www.youtube.com/results?search_query=Model+Parallelism+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,Mixed Precision Training,DeepLearning.AI / Research Talks,Search: Mixed Precision Training LLM,https://www.youtube.com/results?search_query=Mixed+Precision+Training+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,Gradient Checkpointing,DeepLearning.AI / Research Talks,Search: Gradient Checkpointing LLM,https://www.youtube.com/results?search_query=Gradient+Checkpointing+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,LoRA Fine-tuning,DeepLearning.AI / Research Talks,Search: LoRA Fine-tuning LLM,https://www.youtube.com/results?search_query=LoRA+Fine-tuning+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,RLHF Overview,DeepLearning.AI / Research Talks,Search: RLHF Overview LLM,https://www.youtube.com/results?search_query=RLHF+Overview+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,Instruction Tuning,DeepLearning.AI / Research Talks,Search: Instruction Tuning LLM,https://www.youtube.com/results?search_query=Instruction+Tuning+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,Evaluation Metrics (Perplexity),DeepLearning.AI / Research Talks,Search: Evaluation Metrics (Perplexity) LLM,https://www.youtube.com/results?search_query=Evaluation+Metrics+(Perplexity)+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 5 - Systems & Scaling,Inference Optimization,DeepLearning.AI / Research Talks,Search: Inference Optimization LLM,https://www.youtube.com/results?search_query=Inference+Optimization+LLM,Understand startup-level model building,Ready for production-scale systems
Stage 6 - Research Level,Neural Tangent Kernel (NTK),Research Papers / Conference Talks,Search: Neural Tangent Kernel (NTK) deep learning,https://www.youtube.com/results?search_query=Neural+Tangent+Kernel+(NTK)+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Mean Field Theory in Deep Nets,Research Papers / Conference Talks,Search: Mean Field Theory in Deep Nets deep learning,https://www.youtube.com/results?search_query=Mean+Field+Theory+in+Deep+Nets+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Random Matrix Theory,Research Papers / Conference Talks,Search: Random Matrix Theory deep learning,https://www.youtube.com/results?search_query=Random+Matrix+Theory+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Hessian Spectrum Analysis,Research Papers / Conference Talks,Search: Hessian Spectrum Analysis deep learning,https://www.youtube.com/results?search_query=Hessian+Spectrum+Analysis+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Double Descent Phenomenon,Research Papers / Conference Talks,Search: Double Descent Phenomenon deep learning,https://www.youtube.com/results?search_query=Double+Descent+Phenomenon+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Lottery Ticket Hypothesis,Research Papers / Conference Talks,Search: Lottery Ticket Hypothesis deep learning,https://www.youtube.com/results?search_query=Lottery+Ticket+Hypothesis+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Mechanistic Interpretability,Research Papers / Conference Talks,Search: Mechanistic Interpretability deep learning,https://www.youtube.com/results?search_query=Mechanistic+Interpretability+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Transformer Circuit Analysis,Research Papers / Conference Talks,Search: Transformer Circuit Analysis deep learning,https://www.youtube.com/results?search_query=Transformer+Circuit+Analysis+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Sparse Autoencoders,Research Papers / Conference Talks,Search: Sparse Autoencoders deep learning,https://www.youtube.com/results?search_query=Sparse+Autoencoders+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
Stage 6 - Research Level,Reproducing Research Figures,Research Papers / Conference Talks,Search: Reproducing Research Figures deep learning,https://www.youtube.com/results?search_query=Reproducing+Research+Figures+deep+learning,Move from engineer to researcher,"Ability to read, critique, and reproduce papers"
